#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPB2	RPB5	634676	629214	4932.YOR151C	4932.YBR154C	0.321	0	0	0	0.111	0.997	0.900	0.933	0.999
RPO26	RPB4	635441	632192	4932.YPR187W	4932.YJL140W	0	0	0	0	0.101	0.997	0.900	0.958	0.999
HIS5	HIS7	631934	629319	4932.YIL116W	4932.YBR248C	0.560	0	0.312	0	0.976	0.590	0.649	0.696	0.999
RPA135	RPB8	635246	634756	4932.YPR010C	4932.YOR224C	0	0	0	0	0.397	0.996	0.900	0.573	0.999
RPC19	RPC10	634016	631710	4932.YNL113W	4932.YHR143W-A	0	0	0	0	0.594	0.983	0.900	0.869	0.999
MSH2	MSH6	634432	629927	4932.YOL090W	4932.YDR097C	0	0	0.522	0.658	0.768	0.989	0.900	0.977	0.999
RPB3	RPC10	631829	631710	4932.YIL021W	4932.YHR143W-A	0	0	0	0	0.096	0.999	0.900	0.930	0.999
RPO31	RPB5	634639	629214	4932.YOR116C	4932.YBR154C	0.321	0	0	0	0.068	0.997	0.900	0.755	0.999
RPB10	RPO31	634742	634639	4932.YOR210W	4932.YOR116C	0.048	0	0	0	0.052	0.997	0.900	0.678	0.999
RPB10	RPC10	634742	631710	4932.YOR210W	4932.YHR143W-A	0	0	0	0	0.584	0.997	0.900	0.951	0.999
RPB11	RPO21	634339	629709	4932.YOL005C	4932.YDL140C	0.045	0	0	0	0.088	0.999	0.923	0.931	0.999
RPO26	RPB3	635441	631829	4932.YPR187W	4932.YIL021W	0.321	0	0	0	0.191	0.999	0.900	0.930	0.999
RPA135	RPO31	635246	634639	4932.YPR010C	4932.YOR116C	0.321	0	0	0	0.991	0.828	0.273	0.651	0.999
RPA190	RPB5	634880	629214	4932.YOR341W	4932.YBR154C	0.321	0	0	0	0.096	0.997	0.900	0.705	0.999
RPB10	RPB4	634742	632192	4932.YOR210W	4932.YJL140W	0	0	0	0	0.075	0.997	0.900	0.867	0.999
RPB11	RPB5	634339	629214	4932.YOL005C	4932.YBR154C	0.057	0	0	0	0.654	0.997	0.900	0.904	0.999
RPB8	RET1	634756	634739	4932.YOR224C	4932.YOR207C	0	0	0	0	0.068	0.996	0.900	0.729	0.999
