>./09.fa.txt_orf00002 >./17.fa.txt_orf06616_rev >./49.fa.txt_orf02035 >./51.fa.txt_orf01134
>./09.fa.txt_orf00003 >./17.fa.txt_orf09769 >./49.fa.txt_orf05854 >./51.fa.txt_orf00518
>./09.fa.txt_orf00005 >./17.fa.txt_orf09767 >./49.fa.txt_orf05853 >./51.fa.txt_orf01446_rev
>./09.fa.txt_orf00007_rev >./17.fa.txt_orf06612_rev >./49.fa.txt_orf05709_rev >./51.fa.txt_orf00213_rev
>./09.fa.txt_orf00009_rev >./17.fa.txt_orf04128 >./49.fa.txt_orf03024_rev >./51.fa.txt_orf01162_rev
>./09.fa.txt_orf00010_rev >./17.fa.txt_orf13211_rev >./49.fa.txt_orf01845_rev >./51.fa.txt_orf02416
>./09.fa.txt_orf00011 >./17.fa.txt_orf12235_rev >./49.fa.txt_orf00091 >./51.fa.txt_orf01658
>./09.fa.txt_orf00012 >./17.fa.txt_orf05832_rev >./49.fa.txt_orf02087_rev >./51.fa.txt_orf00518
>./09.fa.txt_orf00016_rev >./17.fa.txt_orf05186_rev >./49.fa.txt_orf03318_rev >./51.fa.txt_orf00165
>./09.fa.txt_orf00018 >./17.fa.txt_orf06719_rev >./49.fa.txt_orf01467 >./51.fa.txt_orf01396_rev
>./09.fa.txt_orf00020 >./17.fa.txt_orf06714_rev >./49.fa.txt_orf01471 >./51.fa.txt_orf01394_rev
>./09.fa.txt_orf00021_rev >./17.fa.txt_orf01796_rev >./49.fa.txt_orf00976 >./51.fa.txt_orf00445
>./09.fa.txt_orf00023 >./17.fa.txt_orf06531 >./49.fa.txt_orf02043 >./51.fa.txt_orf01484
>./09.fa.txt_orf00024 >./17.fa.txt_orf07155_rev >./49.fa.txt_orf03844 >./51.fa.txt_orf00216
>./09.fa.txt_orf00026_rev >./17.fa.txt_orf03572 >./49.fa.txt_orf02247 >./51.fa.txt_orf00200_rev
>./09.fa.txt_orf00028_rev >./17.fa.txt_orf00794 >./49.fa.txt_orf05695 >./51.fa.txt_orf01408_rev
>./09.fa.txt_orf00029 >./17.fa.txt_orf12419 >./49.fa.txt_orf05861 >./51.fa.txt_orf00748
>./09.fa.txt_orf00030_rev >./17.fa.txt_orf04648 >./49.fa.txt_orf02800 >./51.fa.txt_orf02050
>./09.fa.txt_orf00031 >./17.fa.txt_orf10436 >./49.fa.txt_orf02626 >./51.fa.txt_orf02048_rev
>./09.fa.txt_orf00033 >./17.fa.txt_orf03724 >./49.fa.txt_orf04530 >./51.fa.txt_orf02047_rev
>./09.fa.txt_orf00034 >./17.fa.txt_orf03719_rev >./49.fa.txt_orf03629 >./51.fa.txt_orf02044_rev
>./09.fa.txt_orf00035 >./17.fa.txt_orf02940_rev >./49.fa.txt_orf02838_rev >./51.fa.txt_orf00664_rev
>./09.fa.txt_orf00037 >./17.fa.txt_orf09230 >./49.fa.txt_orf04098 >./51.fa.txt_orf02043_rev
>./09.fa.txt_orf00039 >./17.fa.txt_orf06902 >./49.fa.txt_orf03525_rev >./51.fa.txt_orf02303_rev
