#0:PFC	1:FBS_max	2:Gene1	3:Gene2	4:FBS_PPI	5:FBS_Metabolic	6:FBS_Signaling	7:FBS_Complex	8:LLR_MEX	9:LLR_PIN	10:LLR_SCL	11:LLR_PHP	12:LLR_MIR	13:LLR_TFB	14:LLR_PEX	15:LLR_GIN	16:LLR_DOM	17:LLR_QMS	18:LLR_HSA	19:LLR_MMU	20:LLR_RNO	21:LLR_CFA	22:LLR_GGA	23:LLR_DRE	24:LLR_CIN	25:LLR_DME	26:LLR_CEL	27:LLR_BTA	28:LLR_SCE	29:LLR_ATH	30:LLR_SPO	31:LLR_BSU	32:LLR_ECO	33:LLR_PFA	34:LLR_OSA	35:Max_category
1.000	24.599	ATP1	RPP0	13.170	16.983	-0.753	24.599	4.546	14.367	0.000	2.029		0.683	-0.075			3.049	5.988	4.401	1.671	-0.276	1.826	1.836		0.309	1.253	-0.206	15.427	-0.858	-0.016			-0.358		Complex
0.967	10.279	RVB2	UTP18	7.576	10.279	0.765	3.038	7.049	0.340	1.753	1.683	0.201	-0.426	-0.206			-0.116	-0.502	0.777	-0.331	1.898				0.482	3.446		4.324	0.575	0.177				6.697	Metabolic
1.000	16.033	CDC48	TRP5	2.620	3.402	1.506	16.033	2.193	12.170	-0.278	1.298		0.650				0.000											15.860	0.304	0.523					Complex
0.995	12.282	URA2	RPA135	12.282	6.186	-2.894	10.751	4.501	6.736	-0.273	0.677		0.642	0.000		0.000		-0.794	1.771	2.281	2.073	0.000	0.218		0.592	0.690	-0.281	10.582	2.936	0.141			0.756		PPI
0.997	12.585	PGC1	VMA2	2.431	3.553	-1.811	12.585	0.564	12.073	0.000	1.298		-0.457	-0.075			-0.818	-1.282	-0.265	-0.888	-0.625		-0.091				-0.206	14.066		0.000					Complex
1.000	16.177	CDC48	TEF1	16.177	14.864	0.325	14.336	2.392	6.475	0.602	3.906		0.481	-0.109			2.430	3.063	2.002	-0.443	-0.911		0.608		0.869	0.663	1.428	10.794	-0.087				0.987		PPI
0.991	11.599	PGC1	TEF1	-0.504	0.250	-1.744	11.599	-1.003	12.073	0.680	1.298		-0.556	-0.075			-0.818	-1.775	-0.510	-0.905	-0.264	0.206	-0.091				-0.206	13.015							Complex
1.000	22.737	TUB2	RPL20B	8.653	6.115	-2.124	22.737	1.289	13.798	-0.278	4.009		1.288	-0.075			2.706	3.539	1.460	-0.444	-0.209	-0.203	1.664		0.109	-0.207	0.283	17.960	0.567				-0.277	0.520	Complex
1.000	20.837	TUB2	KRS1	6.361	6.938	-4.401	20.837	1.902	13.480	-0.278	2.850	-0.093	0.683	0.075			2.218	3.438	1.951	-0.595	-0.282	-0.303			-0.336	0.389	0.000	16.984	1.486	0.523			-0.305	0.520	Complex
1.000	27.355	TUB2	TUB1	27.355	25.986	8.730	22.324	2.981	9.831	4.326	3.906		2.907	0.000		0.814	2.589	6.994	4.018	1.516	-0.066	-0.318	1.484		6.681	-0.650	3.249	18.744	4.857	3.838				0.436	PPI
1.000	18.200	CDC48	KRS1	18.200	15.494	-3.740	15.823	5.404	7.257	-0.668	2.607		1.313	0.000		0.000	2.288	4.080	2.288	4.348	-0.158				0.486	1.029	0.760	12.226	-0.497	0.141			-0.324		PPI
1.000	21.145	TUB2	VMA2	10.250	8.095	1.484	21.145	1.966	13.911	-0.278	4.009	-0.093	1.169	-0.075			0.536	2.438	0.256	0.004	-0.638		-0.091		-0.428	0.142	0.000	18.206	0.627	-0.016			-0.129	0.627	Complex
1.000	15.807	RIO2	TEF2	6.734	3.942	-1.522	15.807	0.658	12.025	-0.278	4.009		0.286	-0.075			-0.818	-0.379	-1.174	-0.529	0.202	0.496	-0.091		-0.231	-0.012	0.283	15.394	-0.574				-0.158	1.108	Complex
1.000	18.998	ATP1	PAB1	9.164	9.087	-2.601	18.998	0.934	14.588	0.000	2.029	-0.093	0.324	-0.075			1.290	4.017	2.508	-0.597	0.215	-0.105	0.080		-0.112	0.108	-0.206	16.369	-0.841	-0.016			-1.286		Complex
1.000	15.005	MRPS28	RPS4A	4.300	5.011	-3.162	15.005	2.117	12.109	0.680	0.693		-0.269				-0.325		-0.238									13.511		-0.201			1.557		Complex
0.869	8.797	RVB2	YHR020W	8.774	5.954	0.442	8.797	3.558	4.406	0.000	0.788		0.046		0.000											0.926		7.362	-0.562	-0.201			1.852	2.739	Complex
1.000	22.815	RPS4B	RPS4A	18.053	22.815	8.763	13.612	8.618	-0.309	3.320			6.086	2.534		1.395	1.171	1.786			-0.193							10.801	8.514	1.638					Metabolic
1.000	18.784	URA2	RPL30	7.937	7.131	-2.730	18.784	2.433	13.469	-0.278	0.556	-0.093	1.220	-0.075			1.551	3.010	1.140	0.609	-0.127		-0.091		-0.181	0.238	0.000	14.981	2.461	0.523			0.621		Complex
1.000	32.737	RPL4B	RPS4A	29.792	32.737	5.772	24.809	11.122	6.152	3.320	3.899	0.175	4.635	0.774		-0.185	2.844	10.694	4.938	3.651	-0.193	3.983	2.245		5.264	8.485	2.268	21.635	11.140	1.638			5.549	8.361	Metabolic
0.999	14.126	CDC48	VMA2	14.126	12.547	1.496	11.750	2.641	5.533	0.602	3.906		0.491	-0.109			1.062	-0.604	0.888	-0.739	0.255		-0.393		0.786	0.386	1.428	11.227	-0.905	0.510			1.553		PPI
1.000	19.150	URA2	RPS24A	9.158	12.247	-1.513	19.150	4.086	12.014	-0.278	0.556	-0.093	1.389	-0.075			1.551	0.996	1.240	0.900	0.130	-0.249	0.080		-0.267	-0.664		15.088	4.413	0.242			1.203		Complex
1.000	23.200	RPL27A	HSP60	10.492	11.939	-6.621	23.200	3.050	13.261	0.000	2.029	-0.093	1.925	0.075			2.952	4.025	2.076	1.600		0.102	1.943		-0.739	-0.630		15.368	3.568	-0.201			0.347		Complex
0.993	11.906	ATP1	RPL4B	11.441	11.906	-6.251	5.948	5.966	1.504	-0.764	1.641	-0.277	1.100	-0.206			2.942	6.760	1.623	3.569	-0.193	0.243	2.049		0.274	-0.522	-0.346	1.941	-1.726	0.177			-1.618		Metabolic
1.000	15.982	RVB2	RPT6	15.982	11.027	3.418	14.693	4.286	6.255	0.602	2.407		0.465	0.000		0.359	1.609	6.090	3.083	2.170	0.147		1.453		-0.184	-0.569		9.360	-0.236	-0.172			0.495	0.262	PPI
1.000	20.603	URA2	RPS13	11.010	11.648	-0.531	20.603	4.091	13.469	0.000	0.556	-0.093	0.977	0.381			1.222	3.346	1.523	0.747		0.000	0.187		0.144	0.213	-0.206	15.311	3.792	0.242			1.009		Complex
1.000	19.952	TUB2	PRE9	7.521	7.389	-5.032	19.952	0.769	14.484	-0.278	2.959	0.089	-0.038	-0.075			2.043	3.136	2.047	1.446		-0.185	0.080		-0.041	0.213	-0.059	15.390	-0.046	-0.201			-0.278	0.095	Complex
1.000	34.001	RPP0	RPS13	26.577	34.001	9.744	26.370	11.484	6.649	3.320	3.031		6.216	0.000			3.302	12.764	4.705	6.984		0.342	3.487		2.725	5.600	-0.346	21.602	7.347	5.286			4.659	7.985	Metabolic
1.000	18.701	URA2	RPS24B	8.167	10.876	-2.207	18.701	4.068	12.014	-0.278	0.556	-0.093	0.958	-0.075			1.551	0.996	1.240	0.900	0.130	-0.249	0.080		-0.267	-0.664		14.294	4.413	0.242			1.203		Complex
0.954	9.945	RVB2	TUB2	8.946	5.556	-1.399	9.945	1.904	4.077	0.000	2.959	-0.093	0.221	-0.075			0.953	2.958	2.014	-0.461	1.121		0.000		0.158	0.549		6.685	-0.706	-0.201			-0.416	-0.292	Complex
0.999	14.200	RPS4B	KIN28	4.504	2.534	-5.166	14.200	1.510	12.014	-0.278	1.163	0.089	-0.373	0.075				-0.008	-0.782		-0.081	1.103	-0.091		-0.085	-0.376	-0.206	12.949	0.541	0.242				0.556	Complex
1.000	15.782	PAB1	PRE9	3.359	3.784	-4.233	15.782	-0.613	13.422	-0.278	2.331	-0.093	-0.457	0.075			1.394	1.392	2.350	0.295		-0.303	-0.091		-0.112	0.123	-0.059	13.420	-0.112	0.084			-0.393	-0.233	Complex
0.994	12.053	MRPS28	RPL27A	1.473	4.498	-2.042	12.053	-0.168	12.109	0.680	0.275		-0.519				-0.325		0.060									12.396		-0.201			-0.393		Complex
1.000	21.878	ATP1	RPL20A	10.296	12.760	-4.280	21.878	3.042	13.590	0.000	2.029		0.683	-0.075			2.610	3.601	0.255	1.540	0.458	0.000	1.836		0.074	0.364	-0.206	16.902	-0.858				-0.284		Complex
0.999	13.757	RVB2	SSC1	9.533	9.659	-0.595	13.757	2.040	7.739	0.293	2.029	-0.093	0.221	-0.075			1.604	4.673	1.067	-0.624			0.080		0.146	0.926		7.908	0.944	-0.016			1.185	0.969	Complex
0.851	8.652	RIO2	RPA135	7.927	8.652	1.882	2.310	7.130	-0.453	-0.764	2.401		0.543	-0.206				2.290	0.295	2.939	0.954	-0.091	0.167		3.534	-1.085	-0.346	5.266	4.408	0.599			1.368		Metabolic
1.000	15.084	CDC48	TEF2	15.084	14.478	-0.567	13.530	1.854	6.475	-0.273	3.906		0.802	-0.109			2.430	3.063	2.002	-0.443	-0.911		0.608		0.869	0.663	1.428	8.636	-0.087				0.987		PPI
1.000	26.090	TUB2	TEF2	16.740	16.004	0.291	26.090	1.017	16.772	0.293	4.009	-0.093	1.806	-0.075			2.361	4.287	2.321	-0.899	-0.396	-0.203	0.962		2.671	-0.372	-0.265	19.700	2.939				-0.119	-0.292	Complex
1.000	16.560	RPP0	RPL29	14.134	16.560	1.756	6.961	7.787	-0.398	3.320	0.895	0.052	4.903									0.144			1.557	5.299		10.636	5.877	1.638			-0.652	4.758	Metabolic
1.000	17.717	CDC48	RPS4A	12.112	9.731	-2.616	17.717	0.965	8.445	0.680	4.009	0.089	1.383	-0.075			2.220	3.719	3.222	-0.086	-0.276		0.962		-0.156	0.251	0.283	12.750	0.629	-0.201			0.210		Complex
0.969	10.339	TSC13	TEF2	10.339	2.337	0.959	9.439	0.674	6.244	-0.668	2.407		1.460	-0.109			0.331	1.336	1.472	-1.118	-0.198	0.493	-0.503		-0.393	0.199	-0.281	8.836	-0.203				-0.096	-0.791	PPI
0.985	11.109	RVB2	ERG27	1.427	-0.547	-4.466	11.109	-0.095	12.073	0.000	0.141		-0.621	-0.075			-0.314	-0.328	-0.567	-0.706	0.429		-0.206					11.955		-0.185					Complex
0.994	12.053	MRPS28	KIN28	0.457	-0.010	-0.560	12.053	0.392	12.109	0.000	0.275		-0.723						0.126									11.841		-0.201					Complex
1.000	31.905	RPP0	RPS24B	27.539	31.905	4.645	21.701	9.634	4.367	3.320	3.031	0.052	6.931	1.355			3.215	14.259	3.665	5.890	0.974	0.730	2.786		1.264	4.956		18.228	4.948	0.599			3.839	7.259	Metabolic
0.994	12.105	PGC1	TEF2	0.965	2.351	-0.554	12.105	-0.697	12.073	0.000	1.298		0.324	-0.075			-0.818	-1.775	-0.510	-0.905	-0.264	0.206	-0.091				-0.206	13.916							Complex
0.999	13.970	SKI2	RPL30	2.528	1.813	-5.810	13.970	0.667	12.058	0.000	1.163	-0.093	0.324	0.075		0.210	-0.435	0.019	-1.193	0.670	-0.127		-0.091		0.286	0.180		14.113	-0.038	-0.016			0.228		Complex
1.000	25.151	CDC48	PRE9	14.797	16.440	-2.598	25.151	3.962	14.368	0.680	2.331	0.089	0.429	-0.075	0.658	0.210	2.499	5.276	4.942	2.646			0.187		0.275	1.281		19.481	1.074	0.523			0.481		Complex
0.997	12.888	PGC1	TUB1	1.053	1.059	-2.637	12.888	1.244	12.073	0.000	0.141		0.324	-0.075			-0.818	-1.426	-0.816	-0.768	-0.703	-0.177	-0.091				-0.206	14.135		-0.185					Complex
0.967	10.292	RVB2	KIN28	10.292	8.789	-0.492	8.669	2.879	6.144	0.602	0.974		-0.555	-0.109		0.359		3.329	-0.877	-0.113	1.284		-0.110		-0.399	-0.573		7.800	0.282	-0.343				1.727	PPI
0.999	14.140	SKI2	RPS24A	4.026	3.643	-5.217	14.140	1.586	12.058	-0.278	1.364	0.089	-0.169	-0.075			-0.435	-0.597	-0.119	0.072	-0.322		-0.091		-0.066	-0.556		14.326	0.428	-0.016			-0.358		Complex
1.000	18.673	GLN4	TEF1	7.132	9.414	-5.889	18.673	2.210	12.056	0.000	2.850	0.089	-0.556	0.075	0.658		1.290	1.111	0.558	-0.498	0.401	0.172	0.080		0.137	0.045	0.000	17.135	0.355				0.622	0.664	Complex
0.999	14.211	SKI2	RPL7A	2.256	1.864	-2.956	14.211	1.551	12.058	0.000	1.163	-0.093	-0.169	-0.075		0.210	-0.435	-0.597	0.646	-0.922	0.138		-0.091		-0.021	-0.301		14.303	0.493	-0.016			-0.158		Complex
1.000	15.226	SKI2	RPA135	4.373	5.635	-2.749	15.226	2.327	12.065	0.000	1.163	0.089	-0.038	-0.075		-0.305		0.595	0.721	0.917	0.454		0.080		0.441	0.989		15.165	0.588	-0.201			0.357		Complex
1.000	17.622	GLN4	KRS1	17.622	16.038	-0.153	8.496	8.772	4.137	-0.668	2.607		0.883	0.000			1.891	12.453	2.792	4.991	1.073	0.511			3.092	1.238	1.428	7.174	4.844	-0.343		-0.491	0.719	3.175	PPI
0.999	13.682	CDC48	THR4	2.299	3.954	-3.354	13.682	1.267	12.073	-0.278	0.601		0.420	-0.075			-0.325	-0.050	-0.870	0.793	-0.644		-0.091				0.000	13.928		0.258					Complex
