#0:PFC	1:FBS_max	2:Gene1	3:Gene2	4:FBS_PPI	5:FBS_Metabolic	6:FBS_Signaling	7:FBS_Complex	8:LLR_MEX	9:LLR_PIN	10:LLR_SCL	11:LLR_PHP	12:LLR_MIR	13:LLR_TFB	14:LLR_PEX	15:LLR_GIN	16:LLR_DOM	17:LLR_QMS	18:LLR_HSA	19:LLR_MMU	20:LLR_RNO	21:LLR_CFA	22:LLR_GGA	23:LLR_DRE	24:LLR_CIN	25:LLR_DME	26:LLR_CEL	27:LLR_BTA	28:LLR_SCE	29:LLR_ATH	30:LLR_SPO	31:LLR_BSU	32:LLR_ECO	33:LLR_PFA	34:LLR_OSA	35:Max_category
1.000	24.599	ATP1	RPP0	13.170	16.983	-0.753	24.599	4.546	14.367	0.000	2.029		0.683	-0.075			3.049	5.988	4.401	1.671	-0.276	1.826	1.836		0.309	1.253	-0.206	15.427	-0.858	-0.016			-0.358		Complex
0.996	12.422	CDC48	ASC1	12.422	9.836	-4.363	11.280	0.946	5.343	1.465	2.407		1.415	-0.109	-1.660	0.359	2.257	1.717	2.102	0.816	0.203		1.039		0.150	-0.335		8.214	-1.193	-0.343			1.010		PPI
0.967	10.279	RVB2	UTP18	7.576	10.279	0.765	3.038	7.049	0.340	1.753	1.683	0.201	-0.426	-0.206			-0.116	-0.502	0.777	-0.331	1.898				0.482	3.446		4.324	0.575	0.177				6.697	Metabolic
1.000	26.014	RPL8B	HSP60	15.238	15.036	1.984	26.014	4.994	14.367	0.000	2.029	-0.093	1.925	-0.075			2.867	4.768	3.677	1.836		-0.114	1.664		-0.580	-0.074		15.714	5.495	0.242			1.252		Complex
1.000	16.033	CDC48	TRP5	2.620	3.402	1.506	16.033	2.193	12.170	-0.278	1.298		0.650				0.000											15.860	0.304	0.523					Complex
0.997	12.585	PGC1	VMA2	2.431	3.553	-1.811	12.585	0.564	12.073	0.000	1.298		-0.457	-0.075			-0.818	-1.282	-0.265	-0.888	-0.625		-0.091				-0.206	14.066		0.000					Complex
1.000	16.177	CDC48	TEF1	16.177	14.864	0.325	14.336	2.392	6.475	0.602	3.906		0.481	-0.109			2.430	3.063	2.002	-0.443	-0.911		0.608		0.869	0.663	1.428	10.794	-0.087				0.987		PPI
1.000	29.810	RPL8B	RPL27A	29.810	29.800	9.220	22.412	9.680	6.140	4.326	3.103		4.003	0.000			2.559	10.259	5.211	8.917	0.229	1.815	1.484		2.622	2.879	0.173	22.377	6.208	2.203			1.927	5.262	PPI
0.991	11.599	PGC1	TEF1	-0.504	0.250	-1.744	11.599	-1.003	12.073	0.680	1.298		-0.556	-0.075			-0.818	-1.775	-0.510	-0.905	-0.264	0.206	-0.091				-0.206	13.015							Complex
1.000	22.737	TUB2	RPL20B	8.653	6.115	-2.124	22.737	1.289	13.798	-0.278	4.009		1.288	-0.075			2.706	3.539	1.460	-0.444	-0.209	-0.203	1.664		0.109	-0.207	0.283	17.960	0.567				-0.277	0.520	Complex
1.000	19.250	RPL8B	RPB8	13.056	13.367	-3.251	19.250	4.598	12.014	0.000	2.331	0.089	0.618	-0.075			-0.325	1.420	1.011	1.488		0.022	0.080		0.696	-0.081	0.000	19.306	-0.028	-0.201			1.009	-0.479	Complex
